Tanggal|Rate
2020-02-11|13686.0
2020-02-10|13708.0
2020-02-07|13647.0
2020-02-06|13662.0
2020-02-05|13717.0
2020-02-04|13760.0
2020-02-03|13726.0
2020-01-31|13662.0
2020-01-30|13652.0
2020-01-29|13634.0
2020-01-28|13647.0
2020-01-27|13612.0
2020-01-24|13632.0
2020-01-23|13626.0
2020-04-03|16464.0
2020-04-02|16741.0
2020-04-01|16413.0
2020-03-31|16367.0
2020-03-30|16336.0
2020-03-27|16230.0
2020-03-26|16328.0
2020-03-24|16486.0
2020-03-23|16608.0
2020-03-20|16273.0
2020-03-19|15712.0
2020-03-18|15223.0
2020-03-17|15083.0
2020-03-16|14818.0
2020-08-31|14554.0
2020-08-28|14702.0
2020-08-27|14714.0
2020-08-26|14636.0
2020-08-25|14632.0
2020-08-24|14794.0
2020-08-19|14786.0
2020-08-18|14907.0
2020-08-14|14917.0
2020-08-13|14877.0
2020-08-12|14777.0
2020-08-11|14728.0
2020-08-10|14750.0
2020-08-07|14647.0
